scenario_id,surface,message,scenario_name,field_patterns,matched_field_count,matched_field_examples,field_mapping_mode,constraint_ids,attacker_nf,violated_invariants,candidate_class,implementation_priority,testbed_support_expectation,initial_validation_status,standard_basis,required_evidence,recommended_workload
T2-A37,T2,PFCP Session Establishment Request / PFCP Session Modification Request,Monitoring-time tariff-boundary shift,PFCP Session (Establishment|Modification) Request\.(Create|Update) URR\.(Monitoring Time|Additional Monitoring Time\.),24,PFCP Session Establishment Request.Create URR.Monitoring Time | PFCP Session Establishment Request.Create URR.Additional Monitoring Time.Monitoring Time | PFCP Session Establishment Request.Create URR.Additional Monitoring Time.Subsequent Volume Threshold | PFCP Session Establishment Request.Create URR.Additional Monitoring Time.Subsequent Time Threshold | PFCP Session Establishment Request.Create URR.Additional Monitoring Time.Subsequent Volume Quota | PFCP Session Establishment Request.Create URR.Additional Monitoring Time.Subsequent Time Quota | PFCP Session Establishment Request.Create URR.Additional Monitoring Time.Subsequent Event Threshold | PFCP Session Establishment Request.Create URR.Additional Monitoring Time.Subsequent Event Quota,FIELD_AND_RELATION,T2-R13,V-SMF,"Ctx,Fresh,Acc",CONDITIONAL,P2,INVENTORY_REQUIRED,STD,"3GPP TS 29.244 V17.10.0 §§7.2, 7.5.2, 7.5.4, 8.2; TS 23.501/23.502/23.503 semantic context",N4 request bytes and decoded IE tree; UPF pre/post rule state; packet-to-PDR/URR mapping; PFCP usage reports; Gy/OCS usage; baseline/attack logs and PCAP,W6_DIFFERENTIATED_CONTEXT
T2-A38,T2,PFCP Session Establishment Request / PFCP Session Modification Request,Subsequent threshold/quota overlap or gap,PFCP Session (Establishment|Modification) Request\.(Create|Update) URR\.(Subsequent|Additional Monitoring Time\.),39,PFCP Session Establishment Request.Create URR.Subsequent Volume Threshold | PFCP Session Establishment Request.Create URR.Subsequent Time Threshold | PFCP Session Establishment Request.Create URR.Subsequent Volume Quota | PFCP Session Establishment Request.Create URR.Subsequent Time Quota | PFCP Session Establishment Request.Create URR.Subsequent Event Threshold | PFCP Session Establishment Request.Create URR.Subsequent Event Quota | PFCP Session Establishment Request.Create URR.Additional Monitoring Time.Monitoring Time | PFCP Session Establishment Request.Create URR.Additional Monitoring Time.Subsequent Volume Threshold,FIELD_AND_RELATION,T2-R13,V-SMF,"Uniq,Comp,Fresh",STRUCTURAL,P1,INVENTORY_REQUIRED,STD,"3GPP TS 29.244 V17.10.0 §§7.2, 7.5.2, 7.5.4, 8.2; TS 23.501/23.502/23.503 semantic context",N4 request bytes and decoded IE tree; UPF pre/post rule state; packet-to-PDR/URR mapping; PFCP usage reports; Gy/OCS usage; baseline/attack logs and PCAP,W3_ASYMMETRIC_UL_DL
T2-A39,T2,PFCP Session Establishment Request / PFCP Session Modification Request,Linked-URR cycle or cross-purpose linking,PFCP Session (Establishment|Modification) Request\.(Create|Update) URR\.Linked URR ID$ | PFCP Session (Establishment|Modification) Request\.(Create|Update) URR\.Reporting Triggers\.LIUSA$,6,PFCP Session Establishment Request.Create URR.Reporting Triggers.LIUSA | PFCP Session Establishment Request.Create URR.Linked URR ID | PFCP Session Modification Request.Create URR.Reporting Triggers.LIUSA | PFCP Session Modification Request.Create URR.Linked URR ID | PFCP Session Modification Request.Update URR.Reporting Triggers.LIUSA | PFCP Session Modification Request.Update URR.Linked URR ID,FIELD_AND_RELATION,T2-R14,V-SMF,"Uniq,Sem,Ctx",STRUCTURAL,P1,INVENTORY_REQUIRED,STD,"3GPP TS 29.244 V17.10.0 §§7.2, 7.5.2, 7.5.4, 8.2; TS 23.501/23.502/23.503 semantic context",N4 request bytes and decoded IE tree; UPF pre/post rule state; packet-to-PDR/URR mapping; PFCP usage reports; Gy/OCS usage; baseline/attack logs and PCAP,W4_TWO_ACCOUNTING_BOUNDARIES
T2-A40,T2,PFCP Session Establishment Request / PFCP Session Modification Request,Quota-action FAR substitution,PFCP Session (Establishment|Modification) Request\.(Create|Update) URR\.FAR ID for Quota Action\.farId$,3,PFCP Session Establishment Request.Create URR.FAR ID for Quota Action.farId | PFCP Session Modification Request.Create URR.FAR ID for Quota Action.farId | PFCP Session Modification Request.Update URR.FAR ID for Quota Action.farId,FIELD_AND_RELATION,T2-R15 | T2-R21,V-SMF,"Auth,Ctx,Comp",DIRECT,P1,INVENTORY_REQUIRED,STD,"3GPP TS 29.244 V17.10.0 §§7.2, 7.5.2, 7.5.4, 8.2; TS 23.501/23.502/23.503 semantic context",N4 request bytes and decoded IE tree; UPF pre/post rule state; packet-to-PDR/URR mapping; PFCP usage reports; Gy/OCS usage; baseline/attack logs and PCAP,W3_ASYMMETRIC_UL_DL
T2-A41,T2,PFCP Session Establishment Request / PFCP Session Modification Request,Quota-action exempt-SDF scope manipulation,PFCP Session (Establishment|Modification) Request\.(Create|Update) URR\.Exempted SDF Filter for Quota Action\.,33,PFCP Session Establishment Request.Create URR.Exempted SDF Filter for Quota Action.BID | PFCP Session Establishment Request.Create URR.Exempted SDF Filter for Quota Action.FL | PFCP Session Establishment Request.Create URR.Exempted SDF Filter for Quota Action.SPI | PFCP Session Establishment Request.Create URR.Exempted SDF Filter for Quota Action.TTC | PFCP Session Establishment Request.Create URR.Exempted SDF Filter for Quota Action.FD | PFCP Session Establishment Request.Create URR.Exempted SDF Filter for Quota Action.flowDescriptionLength | PFCP Session Establishment Request.Create URR.Exempted SDF Filter for Quota Action.flowDescription | PFCP Session Establishment Request.Create URR.Exempted SDF Filter for Quota Action.tosTrafficClass,FIELD_AND_RELATION,T2-R15,V-SMF,"Auth,Comp,Sem",DIRECT,P1,INVENTORY_REQUIRED,STD,"3GPP TS 29.244 V17.10.0 §§7.2, 7.5.2, 7.5.4, 8.2; TS 23.501/23.502/23.503 semantic context",N4 request bytes and decoded IE tree; UPF pre/post rule state; packet-to-PDR/URR mapping; PFCP usage reports; Gy/OCS usage; baseline/attack logs and PCAP,W3_ASYMMETRIC_UL_DL
T2-A42,T2,PFCP Session Establishment Request / PFCP Session Modification Request,Quota-action exempt-application substitution,PFCP Session (Establishment|Modification) Request\.(Create|Update) URR\.Exempted Application ID for Quota Action$,3,PFCP Session Establishment Request.Create URR.Exempted Application ID for Quota Action | PFCP Session Modification Request.Create URR.Exempted Application ID for Quota Action | PFCP Session Modification Request.Update URR.Exempted Application ID for Quota Action,FIELD_AND_RELATION,T2-R15,V-SMF,"Auth,Ctx,Comp",CONDITIONAL,P2,INVENTORY_REQUIRED,STD,"3GPP TS 29.244 V17.10.0 §§7.2, 7.5.2, 7.5.4, 8.2; TS 23.501/23.502/23.503 semantic context",N4 request bytes and decoded IE tree; UPF pre/post rule state; packet-to-PDR/URR mapping; PFCP usage reports; Gy/OCS usage; baseline/attack logs and PCAP,W3_ASYMMETRIC_UL_DL
T2-A43,T2,PFCP Session Establishment Request / PFCP Session Modification Request,Number-of-Reports manipulation,PFCP Session (Establishment|Modification) Request\.(Create|Update) URR\.Number of Reports$,3,PFCP Session Establishment Request.Create URR.Number of Reports | PFCP Session Modification Request.Create URR.Number of Reports | PFCP Session Modification Request.Update URR.Number of Reports,FIELD_AND_RELATION,T2-R12,V-SMF,"Comp,Uniq",CONDITIONAL,P2,INVENTORY_REQUIRED,STD,"3GPP TS 29.244 V17.10.0 §§7.2, 7.5.2, 7.5.4, 8.2; TS 23.501/23.502/23.503 semantic context",N4 request bytes and decoded IE tree; UPF pre/post rule state; packet-to-PDR/URR mapping; PFCP usage reports; Gy/OCS usage; baseline/attack logs and PCAP,W3_ASYMMETRIC_UL_DL
T2-A44,T2,PFCP Session Establishment Request / PFCP Session Modification Request,Measurement-Information flag manipulation,PFCP Session (Establishment|Modification) Request\.(Create|Update) URR\.Measurement Information$,3,PFCP Session Establishment Request.Create URR.Measurement Information | PFCP Session Modification Request.Create URR.Measurement Information | PFCP Session Modification Request.Update URR.Measurement Information,FIELD_AND_RELATION,T2-R11 | T2-R13 | T2-R17,V-SMF,"Sem,Comp,Uniq,Acc",STRUCTURAL,P1,INVENTORY_REQUIRED,STD,"3GPP TS 29.244 V17.10.0 §§7.2, 7.5.2, 7.5.4, 8.2; TS 23.501/23.502/23.503 semantic context",N4 request bytes and decoded IE tree; UPF pre/post rule state; packet-to-PDR/URR mapping; PFCP usage reports; Gy/OCS usage; baseline/attack logs and PCAP,W3_ASYMMETRIC_UL_DL
T2-A45,T2,PFCP Session Establishment Request / PFCP Session Modification Request,"Quota-holding, validity, or inactivity timer manipulation",PFCP Session (Establishment|Modification) Request\.(Create|Update) URR\.(Quota Holding Time|Quota Validity Time|Inactivity Detection Time|Ethernet Inactivity Timer|User Plane Inactivity Timer)$,15,PFCP Session Establishment Request.Create URR.Quota Holding Time | PFCP Session Establishment Request.Create URR.Quota Validity Time | PFCP Session Establishment Request.Create URR.Inactivity Detection Time | PFCP Session Establishment Request.Create URR.Ethernet Inactivity Timer | PFCP Session Establishment Request.Create URR.User Plane Inactivity Timer | PFCP Session Modification Request.Create URR.Quota Holding Time | PFCP Session Modification Request.Create URR.Quota Validity Time | PFCP Session Modification Request.Create URR.Inactivity Detection Time,FIELD_AND_RELATION,T2-R12,V-SMF,"Comp,Fresh,Uniq",CONDITIONAL,P2,INVENTORY_REQUIRED,STD,"3GPP TS 29.244 V17.10.0 §§7.2, 7.5.2, 7.5.4, 8.2; TS 23.501/23.502/23.503 semantic context",N4 request bytes and decoded IE tree; UPF pre/post rule state; packet-to-PDR/URR mapping; PFCP usage reports; Gy/OCS usage; baseline/attack logs and PCAP,W7_TIME_BOUNDARY
T2-A46,T2,PFCP Session Modification Request,SUMPC counter-summation manipulation,PFCP Session (Establishment|Modification) Request\.(PFCPSEReq- Flags|PFCPSMReq- Flags)\.SUMPC$,2,PFCP Session Establishment Request.PFCPSEReq- Flags.SUMPC | PFCP Session Modification Request.PFCPSMReq- Flags.SUMPC,FIELD_AND_RELATION,T2-R17,V-SMF,"Uniq,Comp,Deriv",DIRECT,P1,INVENTORY_REQUIRED,STD,"3GPP TS 29.244 V17.10.0 §§7.2, 7.5.2, 7.5.4, 8.2; TS 23.501/23.502/23.503 semantic context",N4 request bytes and decoded IE tree; UPF pre/post rule state; packet-to-PDR/URR mapping; PFCP usage reports; Gy/OCS usage; baseline/attack logs and PCAP,W3_ASYMMETRIC_UL_DL
T2-A47,T2,PFCP Session Modification Request,RUMUC measurement-update/reset manipulation,PFCP Session Modification Request\.PFCPSMReq- Flags\.RUMUC$,1,PFCP Session Modification Request.PFCPSMReq- Flags.RUMUC,FIELD_AND_RELATION,T2-R17,V-SMF,"Uniq,Comp,Fresh",DIRECT,P1,INVENTORY_REQUIRED,STD,"3GPP TS 29.244 V17.10.0 §§7.2, 7.5.2, 7.5.4, 8.2; TS 23.501/23.502/23.503 semantic context",N4 request bytes and decoded IE tree; UPF pre/post rule state; packet-to-PDR/URR mapping; PFCP usage reports; Gy/OCS usage; baseline/attack logs and PCAP,W3_ASYMMETRIC_UL_DL
T2-A48,T2,PFCP Session Modification Request,QAURR or Query-URR stale-usage application,PFCP Session Modification Request\.PFCPSMReq- Flags\.QAURR$ | PFCP Session Modification Request\.(Query URR|Query URR Reference),3,PFCP Session Modification Request.PFCPSMReq- Flags.QAURR | PFCP Session Modification Request.Query URR.URR ID.urrId | PFCP Session Modification Request.Query URR Reference.queryUrrReference,FIELD_AND_RELATION,T2-R17 | T2-R18,V-SMF,"Fresh,Uniq,Ctx",DIRECT,P1,INVENTORY_REQUIRED,STD,"3GPP TS 29.244 V17.10.0 §§7.2, 7.5.2, 7.5.4, 8.2; TS 23.501/23.502/23.503 semantic context",N4 request bytes and decoded IE tree; UPF pre/post rule state; packet-to-PDR/URR mapping; PFCP usage reports; Gy/OCS usage; baseline/attack logs and PCAP,W4_TWO_ACCOUNTING_BOUNDARIES
T2-A49,T2,PFCP Session Modification Request,Non-atomic partial commit of rule removal,PFCP Session Modification Request\.Remove (PDR|FAR|URR|QER|Traffic Endpoint|MAR|SRR|BAR),8,PFCP Session Modification Request.Remove PDR.PDR ID.pdrId | PFCP Session Modification Request.Remove FAR.FAR ID.farId | PFCP Session Modification Request.Remove URR.URR ID.urrId | PFCP Session Modification Request.Remove QER.QER ID.qerId | PFCP Session Modification Request.Remove BAR.BAR ID.barId | PFCP Session Modification Request.Remove Traffic Endpoint.Traffic Endpoint ID | PFCP Session Modification Request.Remove MAR.MAR ID.marId | PFCP Session Modification Request.Remove SRR.SRR ID.srrId,FIELD_AND_RELATION,T2-R16,V-SMF,"Sem,Comp,Uniq,Deriv",STRUCTURAL,P1,INVENTORY_REQUIRED,STD,"3GPP TS 29.244 V17.10.0 §§7.2, 7.5.2, 7.5.4, 8.2; TS 23.501/23.502/23.503 semantic context",N4 request bytes and decoded IE tree; UPF pre/post rule state; packet-to-PDR/URR mapping; PFCP usage reports; Gy/OCS usage; baseline/attack logs and PCAP,W3_ASYMMETRIC_UL_DL
T2-A50,T2,PFCP Session Modification Request,PDR removal creates forwarding/measurement orphan,PFCP Session Modification Request\.Remove PDR,1,PFCP Session Modification Request.Remove PDR.PDR ID.pdrId,FIELD_AND_RELATION,T2-R05 | T2-R16,V-SMF,"Comp,Auth",DIRECT,P1,INVENTORY_REQUIRED,STD,"3GPP TS 29.244 V17.10.0 §§7.2, 7.5.2, 7.5.4, 8.2; TS 23.501/23.502/23.503 semantic context",N4 request bytes and decoded IE tree; UPF pre/post rule state; packet-to-PDR/URR mapping; PFCP usage reports; Gy/OCS usage; baseline/attack logs and PCAP,W3_ASYMMETRIC_UL_DL
T2-A51,T2,PFCP Session Establishment Request / PFCP Session Modification Request,S-NSSAI substitution,PFCP Session (Establishment|Modification) Request\.S-NSSAI\.(sst|sd)$,4,PFCP Session Establishment Request.S-NSSAI.sst | PFCP Session Establishment Request.S-NSSAI.sd | PFCP Session Modification Request.S-NSSAI.sst | PFCP Session Modification Request.S-NSSAI.sd,FIELD_AND_RELATION,T2-R19,V-SMF,"Ctx,Auth",CONDITIONAL,P0,EXISTING_POC_REGRESSION,STR,"3GPP TS 29.244 V17.10.0 §§7.2, 7.5.2, 7.5.4, 8.2; TS 23.501/23.502/23.503 semantic context",N4 request bytes and decoded IE tree; UPF pre/post rule state; packet-to-PDR/URR mapping; PFCP usage reports; Gy/OCS usage; baseline/attack logs and PCAP,W6_DIFFERENTIATED_CONTEXT
T2-A52,T2,PFCP Session Establishment Request,User-ID cross-subscriber substitution,PFCP Session Establishment Request\.User ID$,1,PFCP Session Establishment Request.User ID,FIELD_AND_RELATION,T2-R19,V-SMF,"Attr,Ctx",CONDITIONAL,P1,INVENTORY_REQUIRED,STD,"3GPP TS 29.244 V17.10.0 §§7.2, 7.5.2, 7.5.4, 8.2; TS 23.501/23.502/23.503 semantic context",N4 request bytes and decoded IE tree; UPF pre/post rule state; packet-to-PDR/URR mapping; PFCP usage reports; Gy/OCS usage; baseline/attack logs and PCAP,W5_TWO_SUBSCRIBERS
T2-A53,T2,PFCP Session Establishment Request / PFCP Session Modification Request,"APN/DNN, PDN-type, or RAT-type context substitution",PFCP Session Establishment Request\.APN/DNN\.apnOrDnn$ | PFCP Session Establishment Request\.PDN Type\.pdnType$ | PFCP Session Establishment Request\.RAT Type$ | PFCP Session (Establishment|Modification) Request\.(Create|Update) PDR\.RAT Type$ | PFCP Session (Establishment|Modification) Request\.(Create|Update) Traffic Endpoint\.RAT Type$,9,PFCP Session Establishment Request.Create PDR.RAT Type | PFCP Session Establishment Request.Create Traffic Endpoint.RAT Type | PFCP Session Establishment Request.PDN Type.pdnType | PFCP Session Establishment Request.APN/DNN.apnOrDnn | PFCP Session Establishment Request.RAT Type | PFCP Session Modification Request.Create PDR.RAT Type | PFCP Session Modification Request.Create Traffic Endpoint.RAT Type | PFCP Session Modification Request.Update PDR.RAT Type,FIELD_AND_RELATION,T2-R19,V-SMF,"Ctx,Attr",CONDITIONAL,P2,INVENTORY_REQUIRED,STD,"3GPP TS 29.244 V17.10.0 §§7.2, 7.5.2, 7.5.4, 8.2; TS 23.501/23.502/23.503 semantic context",N4 request bytes and decoded IE tree; UPF pre/post rule state; packet-to-PDR/URR mapping; PFCP usage reports; Gy/OCS usage; baseline/attack logs and PCAP,W6_DIFFERENTIATED_CONTEXT
T2-A54,T2,PFCP Session Establishment Request / PFCP Session Modification Request,Charge-for-dropped-traffic via FAR/URR divergence,PFCP Session (Establishment|Modification) Request\.(Create|Update) FAR\.Apply Action\.(DROP|FORW)$,6,PFCP Session Establishment Request.Create FAR.Apply Action.DROP | PFCP Session Establishment Request.Create FAR.Apply Action.FORW | PFCP Session Modification Request.Create FAR.Apply Action.DROP | PFCP Session Modification Request.Create FAR.Apply Action.FORW | PFCP Session Modification Request.Update FAR.Apply Action.DROP | PFCP Session Modification Request.Update FAR.Apply Action.FORW,FIELD_AND_RELATION,T2-R21,V-SMF,"Sem,Acc,Auth",CONDITIONAL,P2,INVENTORY_REQUIRED,STD,"3GPP TS 29.244 V17.10.0 §§7.2, 7.5.2, 7.5.4, 8.2; TS 23.501/23.502/23.503 semantic context",N4 request bytes and decoded IE tree; UPF pre/post rule state; packet-to-PDR/URR mapping; PFCP usage reports; Gy/OCS usage; baseline/attack logs and PCAP,W3_ASYMMETRIC_UL_DL
T2-A55,T2,PFCP Session Establishment Request / PFCP Session Modification Request,Duplicate-forwarding accounting inflation,PFCP Session (Establishment|Modification) Request\.(Create|Update) FAR\.Apply Action\.(DUPL|DFRT|DDPN)$,9,PFCP Session Establishment Request.Create FAR.Apply Action.DUPL | PFCP Session Establishment Request.Create FAR.Apply Action.DFRT | PFCP Session Establishment Request.Create FAR.Apply Action.DDPN | PFCP Session Modification Request.Create FAR.Apply Action.DUPL | PFCP Session Modification Request.Create FAR.Apply Action.DFRT | PFCP Session Modification Request.Create FAR.Apply Action.DDPN | PFCP Session Modification Request.Update FAR.Apply Action.DUPL | PFCP Session Modification Request.Update FAR.Apply Action.DFRT,FIELD_AND_RELATION,T2-R21 | T2-R24,V-SMF,"Acc,Uniq,Sem",CONDITIONAL,P2,INVENTORY_REQUIRED,STD,"3GPP TS 29.244 V17.10.0 §§7.2, 7.5.2, 7.5.4, 8.2; TS 23.501/23.502/23.503 semantic context",N4 request bytes and decoded IE tree; UPF pre/post rule state; packet-to-PDR/URR mapping; PFCP usage reports; Gy/OCS usage; baseline/attack logs and PCAP,W4_TWO_ACCOUNTING_BOUNDARIES
T2-A56,T2,PFCP Session Establishment Request / PFCP Session Modification Request,FAR forwarding-context substitution,PFCP Session (Establishment|Modification) Request\.(Create|Update) FAR\.(Forwarding Parameters|Update Forwarding Parameters)\.(Network Instance|Redirect Information|Forwarding Policy|Linked Traffic Endpoint ID|Destination Interface),24,PFCP Session Establishment Request.Create FAR.Forwarding Parameters.Destination Interface.interfaceValue | PFCP Session Establishment Request.Create FAR.Forwarding Parameters.Destination Interface.interfaceType | PFCP Session Establishment Request.Create FAR.Forwarding Parameters.Network Instance.length | PFCP Session Establishment Request.Create FAR.Forwarding Parameters.Network Instance.apnOrDnn | PFCP Session Establishment Request.Create FAR.Forwarding Parameters.Redirect Information | PFCP Session Establishment Request.Create FAR.Forwarding Parameters.Forwarding Policy | PFCP Session Establishment Request.Create FAR.Forwarding Parameters.Linked Traffic Endpoint ID | PFCP Session Establishment Request.Create FAR.Forwarding Parameters.Destination Interface Type,FIELD_AND_RELATION,T2-R06 | T2-R21,V-SMF,"Ctx,Auth,Sem",CONDITIONAL,P2,INVENTORY_REQUIRED,STD,"3GPP TS 29.244 V17.10.0 §§7.2, 7.5.2, 7.5.4, 8.2; TS 23.501/23.502/23.503 semantic context",N4 request bytes and decoded IE tree; UPF pre/post rule state; packet-to-PDR/URR mapping; PFCP usage reports; Gy/OCS usage; baseline/attack logs and PCAP,W6_DIFFERENTIATED_CONTEXT
T2-A57,T2,PFCP Session Establishment Request / PFCP Session Modification Request,FAR-ID collision or overwrite,PFCP Session (Establishment|Modification) Request\.(Create|Update|Remove) FAR\.FAR ID\.farId$,4,PFCP Session Establishment Request.Create FAR.FAR ID.farId | PFCP Session Modification Request.Remove FAR.FAR ID.farId | PFCP Session Modification Request.Create FAR.FAR ID.farId | PFCP Session Modification Request.Update FAR.FAR ID.farId,FIELD_AND_RELATION,T2-R06 | T2-R16,V-SMF,"Uniq,Sem,Deriv",STRUCTURAL,P2,INVENTORY_REQUIRED,STD,"3GPP TS 29.244 V17.10.0 §§7.2, 7.5.2, 7.5.4, 8.2; TS 23.501/23.502/23.503 semantic context",N4 request bytes and decoded IE tree; UPF pre/post rule state; packet-to-PDR/URR mapping; PFCP usage reports; Gy/OCS usage; baseline/attack logs and PCAP,W3_ASYMMETRIC_UL_DL
T2-A58,T2,PFCP Session Establishment Request / PFCP Session Modification Request,QER QFI/QoS tariff-context substitution,PFCP Session (Establishment|Modification) Request\.(Create|Update) QER\.(QoS flow identifier|Maximum Bitrate|Guaranteed Bitrate|Packet Rate|Averaging Window|Paging Policy Indicator|Reflective QoS|QER Correlation ID)$,24,PFCP Session Establishment Request.Create QER.QER Correlation ID | PFCP Session Establishment Request.Create QER.Maximum Bitrate | PFCP Session Establishment Request.Create QER.Guaranteed Bitrate | PFCP Session Establishment Request.Create QER.Packet Rate | PFCP Session Establishment Request.Create QER.QoS flow identifier | PFCP Session Establishment Request.Create QER.Reflective QoS | PFCP Session Establishment Request.Create QER.Paging Policy Indicator | PFCP Session Establishment Request.Create QER.Averaging Window,FIELD_AND_RELATION,T2-R08 | T2-R22,V-SMF,"Ctx,Uniq,Auth",CONDITIONAL,P2,INVENTORY_REQUIRED,STD,"3GPP TS 29.244 V17.10.0 §§7.2, 7.5.2, 7.5.4, 8.2; TS 23.501/23.502/23.503 semantic context",N4 request bytes and decoded IE tree; UPF pre/post rule state; packet-to-PDR/URR mapping; PFCP usage reports; Gy/OCS usage; baseline/attack logs and PCAP,W6_DIFFERENTIATED_CONTEXT
T2-A59,T2,PFCP Session Establishment Request / PFCP Session Modification Request,Traffic-endpoint UE-IP/F-TEID cross-session substitution,PFCP Session (Establishment|Modification) Request\.(Create|Update) Traffic Endpoint\.(UE IP address|Local F-TEID|Traffic Endpoint ID|Network Instance|QFI),63,PFCP Session Establishment Request.Create Traffic Endpoint.Traffic Endpoint ID | PFCP Session Establishment Request.Create Traffic Endpoint.Local F-TEID.CHID | PFCP Session Establishment Request.Create Traffic Endpoint.Local F-TEID.CH | PFCP Session Establishment Request.Create Traffic Endpoint.Local F-TEID.V6 | PFCP Session Establishment Request.Create Traffic Endpoint.Local F-TEID.V4 | PFCP Session Establishment Request.Create Traffic Endpoint.Local F-TEID.TEID | PFCP Session Establishment Request.Create Traffic Endpoint.Local F-TEID.ipv4Address | PFCP Session Establishment Request.Create Traffic Endpoint.Local F-TEID.ipv6Address,FIELD_AND_RELATION,T2-R09 | T2-R19,V-SMF,"Ctx,Attr,Auth",DIRECT,P2,INVENTORY_REQUIRED,STD,"3GPP TS 29.244 V17.10.0 §§7.2, 7.5.2, 7.5.4, 8.2; TS 23.501/23.502/23.503 semantic context",N4 request bytes and decoded IE tree; UPF pre/post rule state; packet-to-PDR/URR mapping; PFCP usage reports; Gy/OCS usage; baseline/attack logs and PCAP,W5_TWO_SUBSCRIBERS
T2-A60,T2,PFCP Session Establishment Request / PFCP Session Modification Request,Packet-replication/redundancy duplicate measurement,PFCP Session (Establishment|Modification) Request\.(Create|Update) PDR\.(Packet Replication and Detection Carry-On Information|IP Multicast Addressing Info|Transport Delay Reporting) | PFCP Session (Establishment|Modification) Request\.(Create|Update) Traffic Endpoint\.Redundant Transmission Detection Parameters,44,PFCP Session Establishment Request.Create PDR.Packet Replication and Detection Carry-On Information | PFCP Session Establishment Request.Create PDR.IP Multicast Addressing Info.IP Multicast Address | PFCP Session Establishment Request.Create PDR.IP Multicast Addressing Info.Source IP Address | PFCP Session Establishment Request.Create PDR.Transport Delay Reporting.Preceding UL GTP-U Peer | PFCP Session Establishment Request.Create PDR.Transport Delay Reporting.DSCP | PFCP Session Establishment Request.Create Traffic Endpoint.Redundant Transmission Detection Parameters.Local F-TEID for Redundant Transmission.CHID | PFCP Session Establishment Request.Create Traffic Endpoint.Redundant Transmission Detection Parameters.Local F-TEID for Redundant Transmission.CH | PFCP Session Establishment Request.Create Traffic Endpoint.Redundant Transmission Detection Parameters.Local F-TEID for Redundant Transmission.V6,FIELD_AND_RELATION,T2-R05 | T2-R09 | T2-R21,V-SMF,"Uniq,Acc,Sem",CONDITIONAL,P3,INVENTORY_REQUIRED,STD,"3GPP TS 29.244 V17.10.0 §§7.2, 7.5.2, 7.5.4, 8.2; TS 23.501/23.502/23.503 semantic context",N4 request bytes and decoded IE tree; UPF pre/post rule state; packet-to-PDR/URR mapping; PFCP usage reports; Gy/OCS usage; baseline/attack logs and PCAP,W4_TWO_ACCOUNTING_BOUNDARIES
T2-A61,T2,PFCP Session Establishment Request / PFCP Session Modification Request,MBS/multicast session attribution substitution,PFCP Session (Establishment|Modification) Request\..*(MBS Session Identifier|Area Session ID|MBS Session N4 Control Information),16,PFCP Session Establishment Request.Create PDR.PDI.MBS Session Identifier | PFCP Session Establishment Request.Create PDR.PDI.Area Session ID | PFCP Session Establishment Request.Create Traffic Endpoint.MBS Session Identifier | PFCP Session Establishment Request.Create Traffic Endpoint.Area Session ID | PFCP Session Establishment Request.MBS Session N4 Control Information.MBS Session Identifier | PFCP Session Establishment Request.MBS Session N4 Control Information.Area Session ID | PFCP Session Establishment Request.MBS Session N4 Control Information.Multicast Transport Information | PFCP Session Modification Request.Create PDR.PDI.MBS Session Identifier,FIELD_AND_RELATION,T2-R09 | T2-R19,V-SMF,"Attr,Ctx,Uniq",CONDITIONAL,P3,INVENTORY_REQUIRED,STD,"3GPP TS 29.244 V17.10.0 §§7.2, 7.5.2, 7.5.4, 8.2; TS 23.501/23.502/23.503 semantic context",N4 request bytes and decoded IE tree; UPF pre/post rule state; packet-to-PDR/URR mapping; PFCP usage reports; Gy/OCS usage; baseline/attack logs and PCAP,W3_ASYMMETRIC_UL_DL
T2-A62,T2,PFCP Session Establishment Request / PFCP Session Modification Request,PFCP IE length/presence parser differential,PFCP Session (Establishment|Modification) Request\.PFCP Header\.messageLength$ | PFCP Session (Establishment|Modification) Request\..*\.(length|V4|V6|CH|CHID|FD|TTC|SPI|FL|BID)$,127,PFCP Session Establishment Request.PFCP Header.messageLength | PFCP Session Establishment Request.CP F-SEID.V4 | PFCP Session Establishment Request.CP F-SEID.V6 | PFCP Session Establishment Request.Create PDR.PDI.Local F-TEID.CHID | PFCP Session Establishment Request.Create PDR.PDI.Local F-TEID.CH | PFCP Session Establishment Request.Create PDR.PDI.Local F-TEID.V6 | PFCP Session Establishment Request.Create PDR.PDI.Local F-TEID.V4 | PFCP Session Establishment Request.Create PDR.PDI.Network Instance.length,FIELD_AND_RELATION,T2-R16,V-SMF,"Sem,Comp,Deriv",STRUCTURAL,P1,INVENTORY_REQUIRED,STD,"3GPP TS 29.244 V17.10.0 §§7.2, 7.5.2, 7.5.4, 8.2; TS 23.501/23.502/23.503 semantic context",N4 request bytes and decoded IE tree; UPF pre/post rule state; packet-to-PDR/URR mapping; PFCP usage reports; Gy/OCS usage; baseline/attack logs and PCAP,W3_ASYMMETRIC_UL_DL
